 ,Sample Id,R,Acquisition Time,QC Status,Dataset File,Method File,"Na KED 23/23
Helium KED_LowLow
(ppb)","Mg KED 24/24
Helium KED_LowLow
(ppb)","Al KED 27/27
Helium KED_LowLow
(ppb)","P Oshift 31/47
Oxygen DRC
(ppb)","S (34) -1 34/34
Helium KED_LowLow
(ppb)","K KED 39/39
Helium KED_LowLow
(ppb)","Ca KED 43/43
Helium KED_LowLow
(ppb)","V KED 51/51
Helium KED_LowLow
(ppb)","Cr (52) 52/52
Helium KED_LowLow
(ppb)","Cr (53) NH3 53/53
Ammonia DRC
(ppb)","Fe (54) NH3 54/54
Ammonia DRC
(ppb)","Mn Oshift 55/71
Oxygen DRC
(ppb)","Fe (56) KED 56/56
Helium KED_LowLow
(ppb)","Co KED 59/59
Helium KED_LowLow
(ppb)","Ni KED 60/60
Helium KED_LowLow
(ppb)","Cu (63) KED 63/63
Helium KED_LowLow
(ppb)","Cu (65) NH3 65/65
Ammonia DRC
(ppb)","Zn NH3 66/66
Ammonia DRC
(ppb)","As 75/75
(ppb)","As KED 75/75
Helium KED_LowLow
(ppb)","As Oshift 75/91
Oxygen DRC
(ppb)","Se (77) 77/77
(ppb)","Se (77) Oshift 77/93
Oxygen DRC
(ppb)","Se (78) Oshift 78/94
Oxygen DRC
(ppb)","Se (80) Oshift 80/96
Oxygen DRC
(ppb)","Se (82) 82/82
(ppb)","Se (82) Oshift 82/98
Oxygen DRC
(ppb)","Mo (95) NH3 95/95
Ammonia DRC
(ppb)","Mo (95) OShift 95/127
Oxygen DRC
(ppb)",Rh (IS1) 103/103 (IS),"Rh (IS2) 103/103 (IS)
Oxygen DRC","Rh (IS4) 103/103 (IS)
Ammonia DRC","Rh (IS5) 103/103 (IS)
Ammonia DRC","Rh (IS6) 103/103 (IS)
Oxygen DRC","Rh (IS7) 103/103 (IS)
Helium KED_LowLow","Cd (111) NH3 111/111
Ammonia DRC
(ppb)","Cd (114) NH3 114/114
Ammonia DRC
(ppb)","Pb 208/208
(ppb)","Pb NH3 208/208
Ammonia DRC
(ppb)"
41,CCV 10 ppb MAJORS,,06/16/2023 16:17:52,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\CCV 10 ppb MAJORS.690,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,10132.434,10727.942,9.469,8.924,10627.413,10161.863,9907.914,10.223,10.630,10.449,10.088,10.363,10.025,10.347,9.921,10.238,10.337,10.525,9.926,9.961,10.121,10.134,9.937,10.052,9.897,10.271,10.133,10.058,10.146,83.3%,74.4%,77.2%,79.1%,75.9%,78.8%,9.755,9.822,9.513,9.804
42,9_13_21_UF_10,,06/16/2023 16:23:53,Passed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\9_13_21_UF_10.691,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,7990.427,8816.937,0.528,3.640,14848.710,2008.264,33636.098,0.776,0.076,0.056,-0.105,4.397,1.021,0.009,0.197,1.180,1.221,0.858,4.205,3.963,4.209,0.143,0.071,0.075,0.072,0.453,0.058,2.460,2.474,78.8%,73.6%,74.0%,77.4%,74.7%,77.8%,0.010,0.004,0.053,0.057
43,9_13_21_UF_11,,06/16/2023 16:29:52,Passed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\9_13_21_UF_11.692,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,7994.512,9055.380,0.109,3.575,14604.988,2018.178,33979.686,0.767,0.167,0.145,0.820,4.867,1.720,0.007,0.193,1.424,1.444,1.156,4.165,3.712,4.165,0.202,0.073,0.095,0.074,0.402,0.079,2.298,2.329,77.2%,71.8%,73.9%,74.6%,72.7%,76.6%,0.008,0.007,0.065,0.066
44,9_13_21_LAB_A,,06/16/2023 16:35:53,Passed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\9_13_21_LAB_A.693,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,63.816,0.236,-0.122,-0.623,285.199,59.755,42.303,0.000,0.010,0.014,-0.346,0.039,-0.254,-0.007,0.028,0.585,0.595,0.123,0.094,0.011,0.023,-0.061,0.021,0.004,-0.006,0.033,-0.021,-0.004,0.002,83.9%,77.7%,80.4%,82.4%,76.3%,83.8%,0.001,-0.002,0.018,0.024
45,9_13_21_BB,,06/16/2023 16:41:52,Passed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\9_13_21_BB.694,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,56.620,0.236,0.095,-0.631,229.603,62.868,45.752,0.001,0.007,0.016,-0.364,0.003,-0.213,-0.007,0.007,0.122,0.123,-0.043,0.057,0.005,0.013,-0.134,0.006,0.003,-0.006,-0.035,-0.017,-0.006,0.003,84.3%,77.2%,80.2%,82.0%,75.5%,80.6%,0.001,-0.001,0.019,0.025
46,9_13_21_FB,,06/16/2023 16:47:52,Passed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\9_13_21_FB.695,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,236.682,43.708,14.476,0.600,637.734,126.730,270.186,0.015,0.075,0.081,0.766,0.306,1.179,0.005,0.048,0.215,0.256,18.656,0.017,0.057,0.049,0.075,0.016,0.008,0.007,0.002,-0.013,0.096,0.105,81.5%,76.0%,79.0%,80.5%,75.6%,75.9%,0.010,0.007,0.089,0.092
47,5_18_23_MFB,,06/16/2023 16:53:52,Passed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\5_18_23_MFB.696,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,4836.235,5082.038,4.639,8.580,5184.044,4837.128,4882.119,4.930,5.264,5.200,4.613,5.065,4.685,5.037,5.000,5.120,5.161,4.859,4.389,5.008,4.881,4.404,5.128,4.897,4.945,4.584,5.171,4.817,4.873,88.2%,74.0%,77.3%,79.4%,74.0%,78.5%,4.833,4.848,4.658,5.036
48,5_18_23_DB,,06/16/2023 16:59:52,Passed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\5_18_23_DB.697,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,69.227,12.522,-0.272,4.191,484.161,72.915,59.301,0.014,0.011,0.018,-0.314,0.017,-0.025,0.007,0.011,0.074,0.074,-0.111,0.014,0.012,0.015,0.069,0.052,0.016,0.012,0.004,0.000,0.006,0.014,85.3%,77.5%,81.8%,82.5%,76.7%,82.0%,0.015,0.011,0.024,0.030
49,5_18_23_T_239,,06/16/2023 17:05:52,Passed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\5_18_23_T_239.698,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,46409.233,13062.629,115.987,12.282,1173.244,3943.083,49867.543,1.919,1.454,1.475,43.295,3.690,41.801,1.426,1.713,0.774,0.854,6.094,2.504,2.233,2.447,5.416,2.077,1.970,1.903,2.307,1.968,1.093,1.105,72.2%,65.8%,69.7%,72.2%,65.4%,71.4%,3.375,3.318,1.404,1.265
50,5_18_23_T_239,,06/16/2023 17:11:52,Passed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\5_18_23_T_239.699,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,48071.260,13505.381,121.150,12.896,1362.176,4062.050,53018.523,2.013,1.602,1.448,42.603,3.622,44.108,1.502,1.812,0.856,0.875,6.051,2.434,2.427,2.371,4.918,1.901,1.799,1.899,2.109,1.938,1.114,1.097,75.6%,65.4%,69.3%,71.9%,65.5%,68.8%,3.357,3.266,1.291,1.236
51,5_18_23_M_224,,06/16/2023 17:17:52,Passed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\5_18_23_M_224.700,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,4052.025,642.919,7.396,17.072,916.498,519.102,2963.334,1.023,0.031,0.032,-0.312,5.513,-0.091,0.007,0.051,0.065,0.063,0.695,0.235,0.041,0.059,0.233,0.068,0.019,0.017,0.762,0.036,0.242,0.207,81.4%,71.3%,76.8%,79.2%,72.1%,79.1%,0.003,0.001,0.009,0.012
52,LBLANK,,06/16/2023 17:23:52,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\LBLANK.701,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,55.838,0.709,-1.014,-0.186,157.854,64.636,41.096,0.001,-0.009,-0.002,-0.584,-0.001,-0.380,-0.007,0.005,-0.009,-0.010,-0.223,-0.021,-0.008,0.000,0.218,0.006,0.003,-0.008,-0.014,-0.021,0.018,0.002,74.7%,75.1%,82.7%,82.3%,74.8%,80.0%,0.001,-0.002,-0.010,-0.004
53,CCV 1ppb TRACE,,06/16/2023 17:29:53,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\CCV 1ppb TRACE.702,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,987.833,1010.777,1.244,0.230,1094.225,1046.527,971.080,1.020,1.053,1.062,0.901,1.013,1.035,1.007,0.966,1.070,1.057,0.838,0.969,0.978,0.973,1.046,1.194,1.045,0.973,0.990,0.956,1.001,1.008,82.7%,75.3%,78.9%,80.0%,73.5%,79.4%,0.960,0.979,1.038,1.007
54,CCV 1ppb TRACE,,06/16/2023 17:36:12,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\CCV 1ppb TRACE.703,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,1009.620,1032.865,1.084,0.134,1218.948,1035.643,996.524,1.000,1.028,1.057,0.853,1.012,1.207,1.005,1.040,1.071,1.054,0.835,0.902,1.003,0.992,1.150,0.900,0.947,0.998,1.015,0.964,0.996,1.015,83.3%,75.5%,79.0%,81.7%,74.7%,81.0%,0.971,0.982,1.061,1.007
55,LFB,,06/16/2023 17:42:12,Passed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\LFB.704,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,9318.233,9688.463,9.736,11.439,10212.812,9450.107,9627.478,9.624,10.030,9.820,9.689,9.848,9.376,9.828,9.545,9.851,9.823,9.719,9.522,10.035,9.838,10.370,10.479,9.859,9.986,10.113,9.856,9.568,9.801,81.5%,71.0%,75.8%,77.1%,71.5%,76.7%,9.496,9.469,9.432,9.622
56,CCV 10 ppb MAJORS,,06/16/2023 17:48:11,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\CCV 10 ppb MAJORS.705,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,9642.920,10168.333,9.018,8.986,10240.022,9932.364,9801.368,9.906,10.280,10.456,10.255,10.287,9.766,10.216,9.739,10.027,10.262,10.443,9.532,9.883,9.957,10.320,9.985,9.912,10.116,9.743,9.794,10.047,10.208,83.0%,71.6%,76.3%,77.5%,72.4%,78.6%,9.778,9.810,9.559,9.909
57,CCV 10 ppb MAJORS,,06/16/2023 17:54:30,Passed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\CCV 10 ppb MAJORS.706,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,9842.116,10306.045,9.606,9.039,10768.366,9919.952,10003.601,10.227,10.449,10.559,10.187,10.245,10.000,10.442,10.150,10.375,10.318,10.385,9.898,9.959,9.846,10.486,9.659,10.060,9.906,10.301,10.396,10.091,10.170,83.5%,73.2%,76.8%,77.9%,73.6%,78.0%,9.697,9.786,9.604,9.831
58,5_18_23_MFB,,06/16/2023 18:00:31,Passed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\5_18_23_MFB.707,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,4976.516,5147.487,4.991,8.543,5454.665,4914.506,5048.872,5.060,5.276,5.629,5.309,5.146,4.970,5.269,5.126,5.250,5.575,5.242,4.739,5.171,4.959,4.933,4.776,4.913,4.819,5.069,5.013,5.237,4.937,84.2%,74.3%,75.0%,80.7%,74.7%,80.2%,5.168,5.192,4.949,4.855
59,10_1_21_W_1,,06/16/2023 18:06:31,Passed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\10_1_21_W_1.708,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,1809.750,1366.441,5.096,3.197,5506.470,502.689,7806.175,0.053,0.010,0.017,7.556,5.789,7.720,0.001,0.080,0.465,0.465,0.161,0.695,0.670,0.678,0.121,0.033,0.022,-0.002,0.078,0.002,3.530,3.538,82.4%,74.1%,76.9%,79.7%,73.6%,79.7%,0.003,0.000,0.023,0.026
60,10_1_21_W_6,,06/16/2023 18:12:31,Passed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\10_1_21_W_6.709,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,1829.288,1606.913,8.990,1.791,4261.922,455.882,7633.578,0.144,0.013,0.018,9.395,3.293,9.587,0.001,0.075,0.849,0.840,0.650,0.754,0.656,0.785,0.040,0.045,0.014,0.014,0.057,-0.003,1.588,1.667,81.6%,72.2%,77.8%,71.8%,72.5%,79.2%,0.006,0.002,0.067,0.079
61,10_1_21_W_8,,06/16/2023 18:18:32,Passed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\10_1_21_W_8.710,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,1861.296,1519.065,3.410,1.981,3849.615,458.502,7373.004,0.160,0.020,0.020,5.123,2.449,5.277,-0.003,0.046,0.823,0.825,0.515,0.807,0.698,0.857,0.102,0.034,0.026,0.007,0.061,-0.007,1.450,1.448,80.8%,71.4%,74.6%,78.2%,71.4%,76.4%,0.003,0.000,0.027,0.033
62,10_1_21_W_9,,06/16/2023 18:24:32,Passed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\10_1_21_W_9.711,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,1568.397,1380.745,5.193,1.704,3104.578,418.939,6409.642,0.134,0.044,0.046,5.341,1.801,5.471,-0.003,0.033,0.562,0.560,0.186,0.647,0.672,0.661,0.105,0.017,0.014,0.006,0.052,0.002,0.992,1.004,81.7%,72.1%,76.2%,78.2%,72.6%,78.2%,0.004,0.001,0.025,0.032
63,10_1_21_W_10,,06/16/2023 18:30:32,Passed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\10_1_21_W_10.712,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,1389.621,1711.771,30.176,3.435,3384.539,420.059,6934.894,0.145,0.027,0.032,14.957,3.792,14.459,0.003,0.052,0.619,0.633,0.671,0.738,0.623,0.758,0.190,0.017,0.030,0.003,0.086,-0.007,0.586,0.612,82.0%,70.9%,75.7%,78.6%,71.2%,77.3%,0.004,0.002,0.100,0.101
64,10_1_21_W_11,,06/16/2023 18:36:31,Passed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\10_1_21_W_11.713,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,1334.454,1653.353,21.111,3.120,3350.553,419.785,6718.162,0.167,0.048,0.040,17.542,3.891,16.782,0.004,0.056,0.789,0.811,0.844,0.776,0.718,0.790,0.175,0.028,0.025,0.003,0.000,0.012,0.552,0.564,81.9%,71.8%,75.8%,78.3%,72.1%,76.7%,0.005,0.003,0.212,0.209
65,10_1_21_W_11_LD,,06/16/2023 18:42:31,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\10_1_21_W_11_LD.714,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,54.439,0.236,-1.038,-0.924,-2381.044,46.357,39.608,-0.001,-0.016,-0.003,-0.610,-0.001,-2.398,-0.008,-0.009,-0.014,-0.013,-0.231,0.735,-0.006,-0.004,-1.877,0.006,-0.001,-0.010,-0.063,-0.021,-0.001,0.001,96.0%,90.5%,91.6%,96.3%,87.7%,101.6%,0.001,-0.003,-0.011,-0.005
66,10_1_21_W_11_LD,,06/16/2023 18:48:48,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\10_1_21_W_11_LD.715,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,1339.153,1688.096,22.087,2.483,3244.217,424.294,6864.056,0.158,0.048,0.053,17.877,4.057,16.806,0.006,0.050,0.767,0.813,0.867,0.800,0.875,0.849,0.162,0.034,0.021,0.000,0.031,-0.012,0.575,0.589,79.2%,70.2%,73.8%,75.8%,69.5%,77.5%,0.006,0.003,0.218,0.213
67,10_1_21_W_11_DUP,,06/16/2023 18:54:48,Passed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\10_1_21_W_11_DUP.716,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,1391.783,1697.807,23.078,2.422,3279.974,401.550,6786.822,0.154,0.026,0.027,18.466,4.231,17.815,0.002,0.045,0.805,0.819,0.875,0.780,0.742,0.810,0.007,0.035,0.031,0.014,0.117,-0.002,0.550,0.576,80.0%,68.7%,73.7%,76.3%,69.2%,74.9%,0.005,0.004,0.131,0.128
68,LBLANK,,06/16/2023 19:00:48,Passed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\LBLANK.717,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,54.101,0.745,-0.991,-0.585,373.853,57.413,39.104,0.001,-0.007,-0.001,-0.589,-0.001,-0.260,-0.008,0.004,-0.005,-0.010,-0.226,0.078,-0.011,-0.003,-0.026,0.006,0.001,-0.011,0.007,-0.002,-0.005,0.002,81.8%,71.4%,76.1%,77.3%,70.6%,74.7%,0.001,-0.002,-0.011,-0.004
69,CCV 1ppb TRACE,,06/16/2023 19:06:48,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\CCV 1ppb TRACE.718,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,1002.688,1004.499,1.391,0.161,1337.796,1006.692,987.116,1.030,1.064,1.089,0.925,0.995,1.069,1.028,1.001,1.031,1.063,0.851,0.912,1.063,0.972,1.006,1.027,0.981,0.977,0.952,1.095,1.001,1.014,79.1%,70.9%,74.5%,76.3%,69.1%,75.4%,0.983,0.984,1.087,1.029
70,CCV 1ppb TRACE,,06/16/2023 19:13:07,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\CCV 1ppb TRACE.719,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,1013.929,1074.678,1.233,0.119,1416.610,1024.419,1009.334,1.001,1.073,1.078,0.948,1.015,1.070,1.009,0.988,1.069,1.061,0.849,0.962,0.938,0.988,1.009,1.060,0.965,0.975,1.017,1.048,1.004,1.006,80.1%,71.0%,75.0%,76.9%,70.7%,76.7%,0.974,1.007,1.095,1.046
71,CCV 10 ppb MAJORS,,06/16/2023 19:19:08,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\CCV 10 ppb MAJORS.720,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,9635.268,10151.337,9.432,8.880,10594.163,9744.439,9907.737,9.880,10.196,10.422,10.075,10.256,9.637,10.005,9.671,10.026,10.150,10.305,9.816,9.965,9.986,10.671,9.934,10.013,10.079,10.487,9.828,9.938,10.214,78.2%,66.1%,71.5%,73.4%,66.9%,73.0%,9.655,9.776,10.050,10.106
72,CCV 10 ppb MAJORS,,06/16/2023 19:25:27,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\CCV 10 ppb MAJORS.721,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,9689.191,9953.357,9.403,8.962,10606.193,9782.670,9988.664,10.069,10.540,10.658,10.249,10.479,9.974,10.224,9.829,10.151,10.234,10.399,9.779,10.110,10.064,10.556,10.371,10.239,10.163,10.587,10.694,10.041,10.269,80.3%,67.9%,72.9%,75.0%,68.6%,74.8%,9.784,9.756,9.733,9.928
73,10_1_21_W_11_DUP_LSP,,06/16/2023 19:31:27,Passed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\10_1_21_W_11_DUP_LSP.722,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,21099.410,21681.779,50.565,23.655,23812.281,20403.446,27095.534,20.796,21.282,20.853,40.294,25.175,39.462,20.704,19.880,20.799,20.497,20.963,20.796,20.584,21.139,20.353,20.594,20.001,20.284,21.075,20.963,20.565,21.159,79.5%,66.5%,70.9%,72.6%,66.3%,71.7%,19.025,19.103,17.470,19.119
74,10_1_21_F_1,,06/16/2023 19:37:27,Passed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\10_1_21_F_1.723,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,8742.716,6405.187,3.167,6.071,25855.224,2306.763,37692.424,0.232,0.074,0.073,11.489,18.168,12.092,0.022,0.427,0.845,0.900,14.784,2.914,2.704,2.941,0.440,0.072,0.043,0.027,0.473,0.039,17.074,17.661,76.0%,67.3%,70.0%,72.3%,68.3%,72.9%,0.011,0.006,0.053,0.057
75,10_1_21_F_1_DUP,,06/16/2023 19:43:27,Passed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\10_1_21_F_1_DUP.724,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,9263.326,6778.589,2.932,5.590,26615.350,2410.831,39017.582,0.223,0.062,0.072,8.274,18.699,8.941,0.029,0.483,0.793,0.886,14.430,2.997,2.768,3.057,0.469,0.054,0.061,0.040,0.415,0.060,17.772,18.189,75.7%,66.9%,69.1%,71.4%,68.3%,72.2%,0.010,0.006,0.052,0.055
76,10_1_21_F_6,,06/16/2023 19:49:26,Passed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\10_1_21_F_6.725,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,9298.864,7693.477,2.970,2.146,19871.807,2124.291,39223.397,0.612,0.068,0.073,7.302,11.286,8.113,0.015,0.286,2.147,2.191,5.244,3.472,3.137,3.560,0.322,0.077,0.091,0.059,0.414,0.080,8.080,8.293,76.3%,67.5%,69.6%,71.8%,68.0%,72.1%,0.015,0.013,0.093,0.097
77,10_1_21_F_6_DUP,,06/16/2023 19:55:26,Passed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\10_1_21_F_6_DUP.726,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,9073.155,7643.379,3.115,2.063,19827.401,2064.272,37819.647,0.625,0.077,0.072,7.330,11.309,8.102,0.015,0.247,2.124,2.213,5.949,3.513,3.192,3.580,0.381,0.091,0.067,0.074,0.518,0.056,7.961,8.310,75.6%,66.5%,69.1%,70.9%,68.0%,72.3%,0.014,0.009,0.101,0.103
78,10_1_21_F_8,,06/16/2023 20:01:27,Passed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\10_1_21_F_8.727,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,9802.459,7873.667,2.922,2.179,18423.730,2146.807,38184.190,0.803,0.059,0.058,8.518,10.766,9.209,0.013,0.217,2.369,2.432,5.689,4.022,3.794,4.099,0.535,0.090,0.088,0.084,0.453,0.060,7.188,7.465,75.9%,66.9%,69.4%,72.2%,68.1%,71.3%,0.009,0.009,0.208,0.205
79,10_1_21_F_9,,06/16/2023 20:07:27,Passed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\10_1_21_F_9.728,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,8271.228,7374.257,3.083,2.814,15606.172,1905.278,33829.370,0.646,0.115,0.123,5.888,5.299,6.627,0.012,0.218,2.201,2.218,6.959,3.121,2.904,3.170,0.576,0.090,0.099,0.069,0.439,0.106,4.965,5.141,77.0%,67.2%,70.0%,72.5%,68.5%,72.2%,0.011,0.009,0.569,0.544
80,10_1_21_F_9_DUP,,06/16/2023 20:13:27,Passed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\10_1_21_F_9_DUP.729,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,8050.599,7277.086,3.951,2.848,15276.102,1878.913,33176.865,0.670,0.096,0.109,5.573,5.283,6.320,0.026,0.247,2.218,2.185,6.942,3.047,2.940,3.160,0.492,0.054,0.057,0.072,0.400,0.070,4.954,5.087,75.9%,67.0%,70.0%,71.8%,68.0%,71.7%,0.010,0.009,0.091,0.093
