 ,Sample Id,R,Acquisition Time,QC Status,Dataset File,Method File,"Na KED 23/23
Helium KED_Low
(ppb)","Mg KED 24/24
Helium KED_Low
(ppb)","Al KED 27/27
Helium KED_Low
(ppb)","P Oshift 31/47
Oxygen DRC
(ppb)","S (34) -1 34/34
Helium KED_Low
(ppb)","K KED 39/39
Helium KED_Low
(ppb)","Ca KED 43/43
Helium KED_Low
(ppb)","V KED 51/51
Helium KED_Low
(ppb)","Cr (52) 52/52
Helium KED_Low
(ppb)","Cr (53) NH3 53/53
Ammonia DRC
(ppb)","Fe (54) NH3 54/54
Ammonia DRC
(ppb)","Mn Oshift 55/71
Oxygen DRC
(ppb)","Fe (56) KED 56/56
Helium KED_Low
(ppb)","Co KED 59/59
Helium KED_Low
(ppb)","Ni KED 60/60
Helium KED_Low
(ppb)","Cu (63) KED 63/63
Helium KED_Low
(ppb)","Cu (65) NH3 65/65
Ammonia DRC
(ppb)","Zn NH3 66/66
Ammonia DRC
(ppb)","As 75/75
(ppb)","As KED 75/75
Helium KED_Low
(ppb)","As  RH Oshift 75/91
Oxygen DRC
(ppb)","As Oshift 75/91
Oxygen DRC
(ppb)","Se (77) 77/77
(ppb)","Se (77) Oshift 77/93
Oxygen DRC
(ppb)","Se (78) Oshift 78/94
Oxygen DRC
(ppb)","Se (80) Oshift 80/96
Oxygen DRC
(ppb)","Se (82) 82/82
(ppb)","Se (82) Oshift 82/98
Oxygen DRC
(ppb)","Y 89/89
(ppb)","Y (EDR) 89/89
(ppb)","Mo (95) NH3 95/95
Ammonia DRC
(ppb)","Mo (95) OShift 95/127
Oxygen DRC
(ppb)",Rh (IS1) 103/103 (IS),"Rh (IS2) 103/103 (IS)
Oxygen DRC","Rh (IS3) 103/103 (IS)
Helium KED_Low","Rh (IS4) 103/103 (IS)
Ammonia DRC","Rh (IS5) 103/103 (IS)
Ammonia DRC","Rh (IS6) 103/103 (IS)
Oxygen DRC","Rh OShift (IS1) 103/119 (IS)
Oxygen DRC","Cd (111) NH3 111/111
Ammonia DRC
(ppb)","Cd (114) NH3 114/114
Ammonia DRC
(ppb)","In 115/115
(ppb)","Pb 208/208
(ppb)","Pb NH3 208/208
Ammonia DRC
(ppb)"
42,F1 DUP LSP,R,5/15/2023 19:32,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\F1 DUP LSP.039,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,8184.066,7182.985,10.051,36.37,15601.149,3886.863,26905.659,2.919,2.761,2.593,14.352,36.422,15.251,2.619,2.904,4.963,4.892,3.699,8.04,7.902,7.574,8.169,2.436,2.416,2.469,2.477,2.691,2.445,,,11.554,11.219,98.20%,88.50%,99.30%,87.50%,88.10%,88.20%,93.10%,2.484,2.463,,2.407,2.441
43,F1 DUP LSP,R,5/15/2023 19:37,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\F1 DUP LSP.040,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,7791.609,6830.36,9.705,36.356,14443.055,3727.768,25589.623,2.819,2.672,2.632,14.387,37.062,14.167,2.528,2.869,4.847,4.891,3.717,8.585,8.023,7.651,8.17,2.731,2.589,2.534,2.463,3.117,2.141,,,11.518,11.337,95.10%,87.60%,102.80%,88.40%,89.10%,89.90%,91.40%,2.488,2.489,,2.517,2.438
44,LBLANK,R,5/15/2023 19:43,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\LBLANK.041,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,126.671,58.09,-0.08,0.518,1047.451,125.617,144.147,0.082,0.001,0.003,-0.105,0.001,0.056,0.001,0.004,-0.104,-0.104,-0.18,-0.018,0.016,0.335,0.008,0.187,-0.018,-0.004,-0.005,-0.038,-0.001,,,0.001,0.007,101.60%,85.70%,101.10%,92.90%,93.90%,93.70%,85.90%,0,0.001,,0,0
45,CCV 1ppb,R,5/15/2023 19:49,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\CCV 1ppb.042,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,1287.211,1247.095,0.95,0.675,2105.619,1135.907,1113.485,1.131,1.109,1.006,0.941,0.99,1.061,1.038,1.179,1.013,0.964,0.807,0.956,1.261,1.203,0.944,0.902,0.843,0.966,0.977,0.996,0.835,,,1.027,0.982,100.20%,92.50%,100.30%,90.60%,90.10%,91.60%,93.20%,1.002,1.008,,0.956,0.965
46,CCV 1ppb,R,5/15/2023 19:55,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\CCV 1ppb.043,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,1189.243,1072.928,0.937,0.586,1792.799,1035.105,1086.196,1.018,0.994,1.035,0.861,1.029,0.915,0.993,1.019,0.895,0.975,0.792,1.007,0.99,1.224,0.971,0.831,0.915,0.873,0.925,1.07,0.905,,,1.022,1.005,100.50%,89.80%,112.80%,90.60%,91.40%,90.80%,90.80%,1.015,0.997,,0.947,0.935
47,CCV 10 ppb,R,5/15/2023 20:01,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\CCV 10 ppb.044,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,11231.975,11247.447,11.095,10.139,10723.797,10052.586,10098.126,10.597,10.442,9.94,9.774,9.831,9.849,10.459,10.791,10.281,10.024,9.214,9.811,10.037,9.666,9.922,8.909,10.132,9.365,9.792,10.754,9.661,,,10.159,9.963,95.10%,86.10%,97.20%,86.40%,87.00%,85.60%,85.60%,9.964,9.979,,9.215,9.071
48,CCV 10 ppb,R,5/15/2023 20:07,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\CCV 10 ppb.045,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,11542.89,11297.366,10.155,9.88,10470.396,10221.378,10151.319,10.574,10.619,10.041,9.727,10.046,9.999,10.404,10.687,10.292,10.046,9.407,10.011,10.294,9.312,9.904,9.339,10.225,9.877,9.812,10.919,9.419,,,10.152,9.964,94.30%,87.80%,99.20%,87.50%,86.80%,88.40%,90.40%,9.954,10.003,,9.519,9.128
49,6_21_21_F_6,R,5/15/2023 20:13,Passed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\F6.046,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,6823.182,5281.79,6.697,15.923,11853.112,1464.365,26206.059,0.667,0.054,0.057,9.416,14.063,9.941,0.028,0.257,4.273,4.011,1.684,6.693,5.263,5.466,5.704,0.586,0.116,0.052,0.059,0.288,0.068,,,6.394,6.318,86.80%,90.10%,104.50%,89.80%,89.50%,89.60%,93.40%,0.015,0.016,,0.158,0.139
50,6_21_21_F_6_DUP,R,5/15/2023 20:19,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\F6 DUP.047,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,6373.27,5102.104,6.402,18.38,11272.432,1451.963,25411.517,0.666,0.049,0.054,9.683,13.663,9.589,0.034,0.288,8.823,8.959,3.85,6.322,4.786,5.431,5.567,0.533,0.054,0.081,0.059,0.351,0.064,,,6.343,6.184,89.50%,89.70%,105.70%,88.30%,88.80%,90.40%,91.30%,0.016,0.015,,0.174,0.152
51,6_21_21_F_6_DUP,R,5/15/2023 20:25,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\F6 DUP.048,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,6612.155,5450.554,5.488,17.852,12425.734,1467.198,26860.887,0.695,0.053,0.056,10.14,13.536,10.126,0.028,0.245,9.015,9.387,3.944,5.582,5.183,5.307,5.515,0.279,0.045,0.038,0.07,0.291,0.056,,,6.634,6.225,99.20%,88.70%,99.90%,87.40%,88.30%,88.70%,91.70%,0.014,0.017,,0.151,0.152
52,6_21_21_F_8,R,5/15/2023 20:31,Passed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\F8.049,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,8358.899,6440.345,3.66,21.218,12377.082,1685.833,29134.688,0.912,0.058,0.051,27.098,16.947,27.443,0.034,0.28,4.545,4.613,1.769,5.858,5.918,5.574,5.961,0.321,0.066,0.094,0.07,0.308,0.069,,,5.977,5.802,98.40%,87.80%,100.10%,86.40%,88.70%,87.30%,93.20%,0.019,0.02,,0.144,0.151
53,6_21_21_F_9,R,5/15/2023 20:36,Passed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\F9.050,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,6767.696,6204.307,5.377,23.055,9604.861,1485.622,27166.599,0.793,0.094,0.091,11.597,10.759,12.536,0.027,0.281,10.671,10.139,4.072,4.367,3.911,4.222,4.392,0.372,0.055,0.054,0.072,0.258,0.044,,,3.342,3.32,97.20%,89.40%,96.40%,89.30%,89.50%,89.40%,94.30%,0.013,0.017,,0.148,0.15
54,6_21_21_F_10,R,5/15/2023 20:42,Passed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\F10.051,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,6387.737,7145.52,5.244,27.045,11816.968,1660.39,30942.394,0.878,0.069,0.059,7.159,9.85,7.446,0.027,0.291,3.855,3.859,1.42,4.718,3.977,5.009,5.374,0.302,0.075,0.106,0.094,0.363,0.085,,,2.834,3.137,99.80%,80.70%,101.40%,87.70%,88.80%,89.80%,86.70%,0.016,0.016,,0.129,0.139
55,6_21_21_F_11,R,5/15/2023 20:48,Passed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\F11.052,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,6345.718,7509.717,7.622,26.971,11822.102,1632.751,30762.764,0.904,0.047,0.055,7.061,7.873,7.383,0.022,0.18,4.168,4.211,2.018,5.089,4.511,5.131,5.196,0.343,0.078,0.081,0.085,0.304,0.1,,,2.735,2.761,97.30%,86.00%,103.80%,87.60%,88.40%,87.90%,86.70%,0.017,0.017,,0.144,0.143
56,F11 SPIKE,R,5/15/2023 20:54,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\F11 SPIKE.053,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,126.827,59.229,-0.151,-0.648,-1380.933,121.94,144.147,0.081,-0.002,0.002,-0.125,-0.001,-0.62,0.001,0.005,-0.105,-0.105,-0.196,0.58,0.017,0.328,0.001,-1.103,-0.008,-0.003,-0.004,-0.088,-0.001,,,-0.002,0.003,90.10%,91.70%,91.30%,94.00%,88.10%,89.30%,90.50%,0,0,,0,-0.001
57,F11 SPIKE,R,5/15/2023 21:00,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\F11 SPIKE.054,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,126.45,59.221,-0.136,-0.684,-1443.537,122.703,144.147,0.081,-0.001,0.002,-0.123,-0.001,-0.673,0.002,-0.01,-0.103,-0.105,-0.195,0.561,0.018,0.327,0,-1.032,-0.024,-0.009,-0.007,-0.185,-0.001,,,-0.001,0.003,86.40%,87.40%,98.70%,91.50%,87.00%,93.60%,86.80%,0,0,,-0.001,-0.001
58,LFB,R,5/15/2023 21:05,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\LFB.055,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,2835.056,2761.117,7.274,2.775,3419.925,2585.651,2672.853,2.521,2.59,2.478,2.36,2.511,2.438,2.507,2.561,2.479,2.551,2.244,2.43,2.371,2.619,2.498,2.338,2.602,2.541,2.444,2.515,2.358,,,2.51,2.482,101.20%,89.90%,103.00%,90.50%,91.40%,87.70%,91.50%,2.494,2.542,,2.386,2.352
59,DBLANK,R,5/15/2023 21:11,Passed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\DBLANK.056,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,128.759,59.052,0.399,5.535,1045.22,128.307,150.606,0.083,0.001,0.002,-0.08,0.001,0.026,0.001,0.004,0.988,1.031,-0.059,0.002,0.01,0.33,0.003,0.006,-0.019,-0.006,-0.007,-0.054,-0.005,,,-0.001,0.004,109.00%,92.40%,112.00%,93.60%,93.60%,93.00%,92.60%,0,0,,0.065,0.073
60,LBLANK,R,5/15/2023 21:17,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\LBLANK.057,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,126.701,58.09,-0.047,0.725,1343.187,133.397,144.147,0.082,0.002,0.004,-0.103,-0.001,0.034,0.002,-0.001,-0.103,-0.105,-0.184,-0.05,0.01,0.329,0.002,0.149,-0.024,-0.004,-0.002,-0.008,0.003,,,-0.001,0.004,100.60%,92.90%,106.00%,92.50%,92.40%,92.20%,91.40%,0,0,,0,-0.001
61,CCV 1ppb,R,5/15/2023 21:23,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\CCV 1ppb.058,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,1288.816,1246.897,1.111,0.782,2224.391,1133.859,1050.219,1.148,1.107,1.015,0.874,1.009,1.143,1.098,1.146,1.019,0.954,0.807,0.93,1.12,1.27,0.98,0.822,1.01,0.984,0.924,0.951,1.042,,,1.013,1.018,100.20%,88.70%,99.30%,90.20%,92.00%,89.40%,86.10%,1.012,1.002,,0.941,0.928
62,CCV 1ppb,R,5/15/2023 21:29,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\CCV 1ppb.059,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,1240.853,1180.721,0.928,0.59,2014.093,1122.233,1196.486,1.089,1.008,1.016,0.899,1.004,0.967,1.004,1.079,0.901,0.974,0.8,0.944,0.925,1.247,0.952,0.941,1.083,0.986,0.905,1.058,0.862,,,1.013,0.991,99.70%,90.50%,106.10%,90.90%,92.20%,90.40%,87.50%,1.001,0.998,,0.94,0.95
63,CCV 10 ppb,R,5/15/2023 21:35,Passed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\CCV 10 ppb.060,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,10642.64,10344.138,10.295,10.238,10190.216,9515.109,9709.291,9.834,9.909,10.016,9.665,10.037,9.191,9.718,9.929,9.531,9.994,9.306,9.599,9.478,9.526,9.848,9.17,10.637,9.974,9.846,10.254,9.496,,,10.196,10.211,96.70%,85.10%,104.30%,86.70%,85.40%,85.60%,85.10%,9.813,9.889,,9.139,9.291
64,CCV 10 ppb,R,5/15/2023 21:41,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\CCV 10 ppb.061,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,10746.774,10739.554,11.131,10.395,10556.896,9644.106,9872.531,10.082,10.25,10.087,9.87,9.925,9.388,10.221,10.59,10.006,10.192,9.372,10.029,9.643,9.552,9.87,9.359,10.119,9.494,9.801,10.803,9.195,,,10.281,9.976,94.80%,87.30%,102.70%,87.10%,84.90%,85.70%,87.30%,9.843,9.889,,9.321,9.357
65,DBLANK,R,5/15/2023 21:47,Passed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\DBLANK.062,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,127.388,59.09,0.69,5.644,1058.544,130.092,146.498,0.082,-0.001,0.005,-0.074,0.001,0.061,0.001,0.005,1.013,1.026,-0.059,-0.053,0.023,0.329,0.002,0.163,-0.019,-0.003,-0.004,0.01,0.003,,,0,0.005,102.30%,97.00%,107.90%,94.90%,94.90%,90.80%,98.60%,0,0,,0.069,0.073
66,MFB,R,5/15/2023 21:52,Passed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\MFB.063,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,5542.343,5575.999,5.388,12.784,5856.803,5107.76,5101.913,5.25,5.207,4.966,4.911,6.041,5.128,5.216,5.373,6.219,6.043,4.565,4.681,4.641,5.896,5.8,4.421,6.018,5.607,5.709,5.061,5.576,,,4.996,6.004,99.30%,78.90%,102.50%,90.30%,89.60%,88.20%,77.70%,4.861,4.827,,4.59,4.662
67,T-239,R,5/15/2023 21:58,Passed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\T-239.064,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,56365.39,14677.149,130.837,16.823,2137.524,4160.107,54156.182,2.207,1.575,1.418,40.884,3.739,43.977,1.568,1.931,1.913,1.833,5.744,2.402,2.009,2.499,2.368,4.668,2.102,1.866,1.827,2.113,1.675,,,1.075,1.086,93.70%,81.30%,93.50%,83.60%,84.50%,81.60%,82.70%,3.276,3.224,,1.109,1.146
68,6_21_21_W_1,R,5/15/2023 22:04,Passed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\W1.065,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,1119.253,884.56,10.104,9.456,3040.575,339.458,4951.446,0.142,0.016,0.024,11.491,8.18,11.515,0.013,0.075,0.563,0.567,0.165,1.337,1.055,1.473,1.278,0.182,-0.003,-0.001,0.015,0.021,0.011,,,1.944,1.879,99.20%,91.00%,112.00%,91.30%,92.40%,88.90%,94.70%,0.003,0.005,,0.054,0.052
69,6_21_21_W_6,R,5/15/2023 22:10,Passed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\W6.066,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,1441.104,1080.933,13.628,4.465,3142.899,387.074,5389.231,0.219,0.02,0.025,13.233,3.977,13.366,0.007,0.055,1.363,1.389,0.483,1.314,1.299,1.468,1.269,0.062,-0.008,0.007,0.012,0.116,0.011,,,1.296,1.275,98.70%,89.30%,106.60%,90.40%,90.10%,87.60%,92.70%,0.005,0.005,,0.102,0.103
70,6_21_21_W_8,R,5/15/2023 22:15,Passed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\W8.067,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,1653.408,1176.258,12.912,4.944,2808.124,439.665,5850.725,0.272,0.034,0.036,12.985,4.667,12.708,0.012,0.044,1.328,1.377,0.552,1.255,1.049,1.432,1.272,0.091,0.002,0.012,0.008,0.07,0.015,,,1.151,1.136,98.00%,89.10%,107.00%,90.10%,82.60%,90.00%,95.70%,0.006,0.006,,0.106,0.125
71,6_21_21_W_8 DUP,R,5/15/2023 22:21,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\W8 DUP.068,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,127.722,59.18,-0.133,-0.607,-1448.23,121.892,164.657,0.082,-0.006,0.003,-0.125,-0.001,-0.632,0,-0.003,-0.099,-0.106,-0.196,0.571,0.025,0.327,0,-1.065,-0.024,-0.007,-0.007,-0.027,-0.001,,,-0.001,0.003,87.60%,88.30%,101.50%,92.80%,88.40%,90.90%,92.40%,0,0,,-0.001,-0.001
72,6_21_21_W_8_DUP,R,5/15/2023 22:27,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\W8 DUP.069,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,1681.644,1311.044,12.701,4.767,3156.472,432.689,6014.963,0.292,0.022,0.022,12.029,4.336,12.294,0.011,0.063,1.405,1.334,0.603,1.221,1.032,1.459,1.251,0.072,-0.002,0.019,0.01,0.007,0.011,,,1.133,1.13,98.40%,87.60%,100.50%,89.70%,90.00%,87.40%,90.40%,0.005,0.007,,0.096,0.098
73,6_21_21_W_9,R,5/15/2023 22:33,Passed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\W9.070,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,1280.682,1140.158,18.658,5.224,2375.738,359.025,5211.421,0.22,0.019,0.025,15.507,3.839,15.388,0.007,0.042,1.209,1.225,0.486,0.919,0.74,1.207,0.984,0.007,-0.013,0.007,0.006,0.011,0.008,,,0.664,0.705,97.70%,84.80%,104.20%,89.50%,89.40%,87.80%,88.60%,0.004,0.006,,0.096,0.102
74,6_21_21_W_9_SPIKE,R,5/15/2023 22:39,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\W9 SPIKE.071,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,2334.488,2193.964,18.058,6.14,3378.991,1281.303,6202.416,1.266,1.053,1.037,14.878,4.139,15.376,1.06,1.129,2.148,2.112,1.356,1.897,1.933,2.043,1.88,1.009,0.962,1.013,0.949,1.192,1.003,,,1.672,1.624,97.90%,87.90%,101.30%,88.60%,88.50%,89.70%,89.80%,1.011,1,,1.014,1.028
75,W9 SPIKE,R,5/15/2023 22:45,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\W9 SPIKE.072,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,2407.622,2374.858,20.748,6.494,3988.223,1341.238,6473.715,1.276,1.058,1.024,14.919,4.158,16.316,1.111,1.183,2.266,2.089,1.347,1.86,2.035,2.076,1.893,0.959,1.102,0.895,0.947,0.991,0.786,,,1.635,1.617,97.80%,88.10%,96.10%,89.00%,87.80%,86.60%,89.00%,0.983,0.992,,1.022,1.054
76,LBLANK,R,5/15/2023 22:50,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\LBLANK.073,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,127.157,59.151,-0.065,0.112,1104.702,131.622,146.541,0.082,0.002,0.004,-0.097,-0.001,0.026,0.001,0.001,-0.104,-0.105,-0.189,-0.041,0.017,0.327,0.001,0.108,-0.014,-0.004,-0.006,-0.021,-0.001,,,-0.001,0.004,96.80%,90.80%,100.40%,87.70%,90.00%,89.70%,91.30%,0,0,,0,0
77,CCV 1ppb,R,5/15/2023 22:56,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\CCV 1ppb.074,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,1216.16,1226.594,0.973,0.658,2039.142,1073.151,1125.605,1.163,1.121,1.016,0.923,1.021,1.132,1.083,1.135,1.036,0.978,0.791,0.959,1.153,1.182,0.962,0.935,0.828,0.947,0.986,1.006,0.983,,,1.011,1.01,100.00%,86.90%,99.60%,89.60%,89.40%,86.50%,91.10%,0.997,1.001,,0.928,0.956
78,CCV 1ppb,R,5/15/2023 23:02,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\CCV 1ppb.075,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,1274.8,1164.4,1.082,0.541,2291.813,1163.506,1242.028,1.097,1.079,0.987,0.898,1.023,1.078,1.122,1.118,1.048,0.97,0.788,0.9,1.129,1.236,0.968,0.988,1.135,0.942,0.963,0.936,0.945,,,1.005,1.012,99.20%,87.60%,97.60%,89.20%,90.40%,87.60%,87.10%,0.989,1,,0.937,0.947
79,CCV 10 ppb,R,5/15/2023 23:08,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\CCV 10 ppb.076,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,10892.266,10598.966,9.952,10.161,10750.604,9615.875,9917.077,10.401,10.184,9.934,9.743,9.965,9.9,10.24,10.576,10.192,10.141,9.358,9.647,10.403,8.947,9.829,9.231,10.085,9.755,9.895,10.244,9.078,,,10.253,9.96,93.40%,84.20%,98.10%,85.20%,83.00%,84.00%,89.90%,9.891,9.863,,9.132,9.302
80,CCV 10 ppb,R,5/15/2023 23:14,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\CCV 10 ppb.077,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,11201.26,10909.013,11.033,10.228,11200.588,9944.888,10354.894,10.725,10.544,10.062,9.876,10.022,10.155,10.439,10.893,10.445,10.141,9.508,9.675,10.313,9.28,9.71,9.275,9.99,9.514,9.897,10.44,9.278,,,10.267,9.866,93.50%,85.90%,97.10%,86.20%,84.20%,84.10%,87.20%,10.091,9.952,,9.25,9.239
